DOMAIN	ASIN	REVIEW_ID	RATING
Buecher	3941109006	RHLCBHDWUW7Z2	1
Buecher	3941109006	R1W4HB7SVUROYN	2
Buecher	3941109006	R313X1O95G7QNY	2
Buecher	3941109006	RCHE2JZRXVCS5	3
Buecher	3941109006	R16XCET09V06QI	3
Buecher	3941109006	R2V21WFXYRKF8T	4
Buecher	3941109006	R309NL1M1X5CJA	4
Buecher	3941109006	RG7P6NAVUKY82	4
Buecher	3941109006	R1SA8K5MOKA5GY	4
Buecher	3941109006	RTMGCX6WRGTG3	4
Buecher	3941109006	RUKPOQPKIBB7R	5
Buecher	3941109006	R303RGSIAU5JW6	5
Buecher	3941109006	R1MU8GFN9Y43A1	5
Buecher	3941109006	RTOB4GGZF0CEQ	5
Buecher	3941109006	R2WRPFRZ2WM49Y	5
Buecher	3941109006	R30BJWPPC84W15	5
Buecher	3941109006	R2I4FSNHGQFN4G	5
Buecher	3941109006	R1OCS7DKYNDOCD	5
Buecher	3941109006	R2QF6R18E96J06	5
Buecher	3941109006	RRYYQIHR246E0	5
Buecher	3941109006	R1NQJWNBDQ7QI7	5
Buecher	3941109006	R2WQ3799OP6T94	5
Buecher	3941109006	R2U0WKZERCY8GL	5
Buecher	3941109006	RSTYMAOR7RAWA	5
Buecher	3941109006	RMVIMOS4KGH7	5
Buecher	3941109006	R2KR83GVB1RANQ	5
Buecher	3941109006	R1X1QCZNWEWRO7	5
Buecher	3941109006	R3U9NMN8MGDG0M	5
Buecher	3941109006	R35VC040MAK6A1	5
Buecher	3941109006	R27S9Q50INBBQY	5
Buecher	3941109006	R2LQM7F5DPLTJ4	5
Buecher	3941109006	R34Q6D4J1IRQSB	5
Buecher	3941109006	R366STFHAEWR2V	5
Buecher	3941109006	RT9IW730DAQ9A	5
Buecher	3941109006	R33XT0R1QCKWP4	5
Buecher	3499237113	R3ARZY0ZVAFVHO	1
Buecher	3499237113	R2I8IICXSVVZPD	1
Buecher	3499237113	R286HWKRWPS8XA	1
Buecher	3499237113	R1Z8VW2Q6OHW9D	1
Buecher	3499237113	R17W8K2U8J3DQ0	1
Buecher	3499237113	RW1O1EXC2LZ23	1
Buecher	3499237113	R2JNEYB89EPLQ7	1
Buecher	3499237113	R8QRTB7PRW660	1
Buecher	3499237113	R1K58WEQ5JEEC2	1
Buecher	3499237113	R3GMOB3ONF2BLJ	1
Buecher	3499237113	R3ULNDJFT988OI	1
Buecher	3499237113	R3CV5T8A3FOULN	1
Buecher	3499237113	R2WADJ6CDUGMFO	1
Buecher	3499237113	RWKKXY4U8OIMG	1
Buecher	3499237113	R1D5PH93HK1C6D	1
Buecher	3499237113	R3EILBL60F6NUQ	1
Buecher	3499237113	R147ANXUTMVSCO	1
Buecher	3499237113	REWJQDP9G8Q8Y	1
Buecher	3499237113	RWOD0LPW9HEII	1
Buecher	3499237113	R81BBRR1U3AE1	1
Buecher	3499237113	R2JFO7UKU6M3Q1	1
Buecher	3499237113	R1Q6040RXF99ZJ	1
Buecher	3499237113	R28NB1VUJCO0YH	1
Buecher	3499237113	R297U6GQABDPV	1
Buecher	3499237113	R2QSTK07M563DG	1
Buecher	3499237113	R37NOC2RAVSG7O	1
Buecher	3499237113	R1KGSD0VA8H91N	1
Buecher	3499237113	R16ONJ8B03J44	1
Buecher	3499237113	R2TLZABNKWEXVT	1
Buecher	3499237113	R1Y9NUFSNPFMGZ	1
Buecher	3499237113	R389UPR2APP25A	2
Buecher	3499237113	R1QIE8QS6MXLPW	2
Buecher	3499237113	R39CEAWUC0ICLX	2
Buecher	3499237113	R1Y8U0RYD3VFTQ	2
Buecher	3499237113	R1BL970TU0HYLZ	2
Buecher	3499237113	R3OB2SO3H81I5V	2
Buecher	3499237113	RYX76CVTFHLAV	2
Buecher	3499237113	R1XPGZSFSHQGMU	2
Buecher	3499237113	R2N1TDDD80C3CR	2
Buecher	3499237113	RG8I25F8OSIE1	2
Buecher	3499237113	R1L9XPAG75ZIF3	2
Buecher	3499237113	RZZMPDONVNPSM	2
Buecher	3499237113	R11D7Z6XZGNHK9	2
Buecher	3499237113	R3E25VH9M7UF0Q	2
Buecher	3499237113	RWQXB28MNQ92T	2
Buecher	3499237113	R1APDCV90FYY4X	2
Buecher	3499237113	R39QTVXYSESMQM	3
Buecher	3499237113	R1JMZD8XWCB6LJ	3
Buecher	3499237113	R29RPLDRBPPQDV	3
Buecher	3499237113	R1CB6NN4GJZ8DR	3
Buecher	3499237113	R36IIT1RUJLKZ3	3
Buecher	3499237113	R3O7NWUHCGBVS2	3
Buecher	3499237113	R28G1POWU7YPX7	3
Buecher	3499237113	R3LCJ2W46V0YK8	3
Buecher	3499237113	R2RYI9S3MI3RO	3
Buecher	3499237113	R1E3OSS0XP6XK1	3
Buecher	3499237113	RC9AQGH50P8NE	3
Buecher	3499237113	R2EE398YWLZ7WQ	3
Buecher	3499237113	R267UJRZTUAPSI	3
Buecher	3499237113	RS9YUFM6CYAQJ	3
Buecher	3499237113	R3JDKG3FELKN0Z	3
Buecher	3499237113	RYMTZJI7BB1PT	3
Buecher	3499237113	R1M8B3BAS184HD	3
Buecher	3499237113	R2M6F2Q18XQJIT	3
Buecher	3499237113	R144DT3VA2GTFP	3
Buecher	3499237113	R363G84L3FW8PB	3
Buecher	3499237113	REWEDI2HC5A6T	3
Buecher	3499237113	R14272WU0H8RUH	3
Buecher	3499237113	R5RUOYWIXGQ4E	3
Buecher	3499237113	R23DFN6IDLH8QF	3
Buecher	3499237113	R2VZBUJ9H2OFDM	3
Buecher	3499237113	R328S5KR73ZI30	3
Buecher	3499237113	R2LF6T1OCSR90R	3
Buecher	3499237113	R3MW683FGM0PXN	4
Buecher	3499237113	R2VUNPECHIJK17	4
Buecher	3499237113	R2RIHXXUDWJSNC	4
Buecher	3499237113	RC73A43H5FTQO	4
Buecher	3499237113	R3DLRA5295HPBZ	4
Buecher	3499237113	R3D3X4GYAZCZBS	4
Buecher	3499237113	R10WA1M7W6G8MF	4
Buecher	3499237113	R13IOSWPMQC257	4
Buecher	3499237113	R31QPXZZFSFIAD	4
Buecher	3499237113	R3PQIB2FFUZ0P6	4
Buecher	3499237113	R23DC8G2HDGJK1	4
Buecher	3499237113	R3HA5L7CRFWLR8	4
Buecher	3499237113	R1MOV2RB35HH3L	4
Buecher	3499237113	R3CBWZXWWCKNIU	4
Buecher	3499237113	R3AXH0PUNP24QY	4
Buecher	3499237113	R22GGAX38B3WJ1	4
